"animal_id","name","animal_type","pocet_odchodu"
"A713882","Jonah","Dog",3
"A747108","Nala","Dog",3
"A809683","Ginger","Dog",3
"A696393","Princess","Dog",3
"A658212","Bobo","Dog",3
"A675567","Lola","Dog",3
"A739065","*Diego R","Dog",3
"A693416","Natalia","Dog",3
"A642946","Zooey","Cat",3
"A758281","Luna","Dog",3
"A776031","Ruble","Dog",3
"A778409","Rico","Dog",3
"A759544","Blue","Dog",3
"A782676","Jethro","Dog",3
"A685638","Rosie","Dog",3
"A735500","Susie","Cat",3
"A724311","Jack","Dog",3
"A699690","Bevo","Dog",3
"A700795","Teddy","Dog",3
"A645676","Match","Dog",3
"A720698","*Truffles","Dog",3
"A696688","Mari","Cat",3
"A683757","Peridot","Dog",3
"A812525","Duke","Dog",3
"A732057","Jovi","Dog",3
"A738684","Aki","Cat",3
"A792870","Stinky Daddy","Dog",3
"A679537","*Polly","Dog",3
"A679918","Appa","Dog",3
"A688914","Joojups","Dog",3
"A750942","Tank","Dog",3
"A758476","Rocko","Dog",3
"A736626","Curry","Dog",3
"A713386","Baby","Dog",3
"A728868","Simba","Dog",3
"A757411","Eli","Cat",3
"A680174","Sadie","Dog",3
"A687774","Valentina","Cat",3
"A725872","Lova","Dog",3
"A688992","Shadow","Dog",3
"A792866","Nami","Dog",3
"A697617","*Walter","Dog",3
"A783495","Xena","Dog",3
"A744583","*Emerson","Dog",3
"A743620","Bastion","Cat",3
"A755921","Coffee","Dog",3
"A775130","*Slinky","Dog",3
"A663055","Mocha","Dog",3
"A715037","Bobby","Dog",3
"A798725","Barley","Dog",3
"A667834","Lucky","Dog",3
"A734273","Olive","Dog",3
"A753455","Sonny","Dog",3
"A802512","Nala","Dog",3
"A669057","Gustaf","Cat",3
"A715045","Nala","Dog",3
"A604955","Pollydoodle","Dog",3
"A671084","Marley","Dog",3
"A750747",NULL,"Cat",3
"A742748","Elsie","Cat",3
"A717838","Pork Chop","Dog",3
"A763012","Doggy","Dog",3
"A720899","Rosey","Dog",3
"A595090","Cinnamon","Dog",3
"A728904","Tobby","Dog",3
"A756711","Stevie","Dog",3
"A709334","*Larry","Cat",3
"A672668","Jasmine","Cat",3
"A681671","Brownie","Dog",3
"A756790","Chloe","Dog",3
"A547090","Brownie","Dog",3
"A712755","Callie","Cat",3
"A769137","Rooster","Dog",3
"A672658","Freya","Dog",3
"A738703","Trey","Cat",3
"A743313","Pj","Dog",3
"A671023","*Murphy","Dog",3
"A738779","Rocky","Dog",3
"A679536","Lucky","Dog",3
"A691732","Copper","Dog",3
"A781133","Vader","Dog",3
"A690821","Shelbey","Dog",3
"A676817","Flecha","Dog",3
"A652104","Clause","Dog",3
"A669896","Dash","Dog",3
"A673394","Maya","Dog",3
"A675325","Hormiga","Dog",3
"A719533","Finley","Dog",3
"A769010","Frank","Dog",3
"A695368","Mordie","Dog",3
"A680912","Stax","Dog",3
"A808770","Maverick","Dog",3
"A767648","*Will Sniff","Dog",3
